"selec","channel","start","end","sound.files","File.Offset..s.","bottom.freq","top.freq","selec.file","element_labels","old.selec","SNR","channel","check.res","duration","min.n.samples","sample.rate","channels","bits","sound.file.samples","song.lab","element","Species","Species_uscr","Clade","selection_type","Check.status","additional_info","song"
12,1,9.154,9.267104961,"Antrostomus-arizonae-21760.wav","",0.4554,2.1091,"Antrostomus-arizonae-21760.Table.1.selections.txt","2a",4,10.2665171513365,1,"OK",0.113104960999999,4987,44.1,1,16,1018368,2,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-21760.wav-2"
13,1,9.463,9.766898179,"Antrostomus-arizonae-21760.wav","",0.6711,3.0678,"Antrostomus-arizonae-21760.Table.1.selections.txt","2b",6,5.1009187473817,1,"OK",0.303898179000001,13401,44.1,1,16,1018368,2,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-21760.wav-2"
14,1,11.927,12.020682898,"Antrostomus-arizonae-21760.wav","",0.5992,2.1331,"Antrostomus-arizonae-21760.Table.1.selections.txt","3a",7,11.0223976978598,1,"OK",0.0936828979999973,4131,44.1,1,16,1018368,3,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-21760.wav-3"
15,1,12.208,12.523322922,"Antrostomus-arizonae-21760.wav","",0.5273,2.8521,"Antrostomus-arizonae-21760.Table.1.selections.txt","3b",8,10.2122876398997,1,"OK",0.315322922,13905,44.1,1,16,1018368,3,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-21760.wav-3"
16,1,13.668,13.767395269,"Antrostomus-arizonae-21760.wav","",0.6471,2.0852,"Antrostomus-arizonae-21760.Table.1.selections.txt","4a",9,8.29438825168436,1,"OK",0.0993952689999986,4383,44.1,1,16,1018368,4,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-21760.wav-4"
17,1,13.953,14.255755704,"Antrostomus-arizonae-21760.wav","",0.5033,2.6843,"Antrostomus-arizonae-21760.Table.1.selections.txt","4b",10,10.2091356391285,1,"OK",0.302755703999999,13351,44.1,1,16,1018368,4,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-21760.wav-4"
18,1,16.041,16.152962487,"Antrostomus-arizonae-21760.wav","",0.6711,2.0133,"Antrostomus-arizonae-21760.Table.1.selections.txt","5a",11,8.75862514785522,1,"OK",0.111962487,4937,44.1,1,16,1018368,5,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-21760.wav-5"
19,1,16.338,16.646468077,"Antrostomus-arizonae-21760.wav","",0.5752,2.7802,"Antrostomus-arizonae-21760.Table.1.selections.txt","5b",12,11.7550616735883,1,"OK",0.308468077000001,13603,44.1,1,16,1018368,5,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-21760.wav-5"
20,1,17.397,17.526099603,"Antrostomus-arizonae-21760.wav","",0.5752,2.0133,"Antrostomus-arizonae-21760.Table.1.selections.txt","6a",13,13.0285793804707,1,"OK",0.129099603,5693,44.1,1,16,1018368,6,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-21760.wav-6"
21,1,17.675,18.001747666,"Antrostomus-arizonae-21760.wav","",0.5752,2.7562,"Antrostomus-arizonae-21760.Table.1.selections.txt","6b",14,10.9442522655272,1,"OK",0.326747665999999,14409,44.1,1,16,1018368,6,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-21760.wav-6"
23,1,2.539,2.574416705,"Antrostomus-arizonae-246061.wav","",0.4074,1.6058,"Antrostomus-arizonae-246061.Table.1.selections.txt","1a",1,0.837632883530278,1,"OK",0.0354167049999994,1561,44.1,1,16,1442599,1,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-1"
24,1,2.749,2.878099602,"Antrostomus-arizonae-246061.wav","",0.4074,2.2769,"Antrostomus-arizonae-246061.Table.1.selections.txt","1b",2,14.033664239396,1,"OK",0.129099601999997,5693,44.1,1,16,1442599,1,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-1"
25,1,3.065,3.380322923,"Antrostomus-arizonae-246061.wav","",0.6232,3.0678,"Antrostomus-arizonae-246061.Table.1.selections.txt","1c",3,6.09789526688233,1,"OK",0.315322923000004,13905,44.1,1,16,1442599,1,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-1"
26,1,12.596,12.719387231,"Antrostomus-arizonae-246061.wav","",0.719,2.3728,"Antrostomus-arizonae-246061.Table.1.selections.txt","2b",4,12.288451598192,1,"OK",0.123387230999995,5441,44.1,1,16,1442599,2,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-2"
27,1,12.906,13.231605192,"Antrostomus-arizonae-246061.wav","",0.6711,3.1637,"Antrostomus-arizonae-246061.Table.1.selections.txt","2c",5,9.47715653445497,1,"OK",0.325605192000005,14359,44.1,1,16,1442599,2,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-2"
28,1,14.485,14.654086205,"Antrostomus-arizonae-246061.wav","",0.6471,2.1571,"Antrostomus-arizonae-246061.Table.1.selections.txt","3b",6,12.0557664598976,1,"OK",0.169086204999999,7456,44.1,1,16,1442599,3,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-3"
29,1,14.797,15.122605192,"Antrostomus-arizonae-246061.wav","",0.6711,3.0439,"Antrostomus-arizonae-246061.Table.1.selections.txt","3c",7,9.21405408707363,1,"OK",0.325605191999998,14359,44.1,1,16,1442599,3,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-3"
30,1,17.364,17.526231358,"Antrostomus-arizonae-246061.wav","",0.8389,2.0372,"Antrostomus-arizonae-246061.Table.1.selections.txt","4b",8,13.1303983240256,1,"OK",0.162231358,7154,44.1,1,16,1442599,4,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-4"
31,1,17.673,17.994035295,"Antrostomus-arizonae-246061.wav","",0.6951,3.3315,"Antrostomus-arizonae-246061.Table.1.selections.txt","4c",9,8.9761043303831,1,"OK",0.321035295000001,14157,44.1,1,16,1442599,4,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-4"
32,1,19.219,19.366379192,"Antrostomus-arizonae-246061.wav","",0.6951,2.205,"Antrostomus-arizonae-246061.Table.1.selections.txt","5b",10,10.702703034491,1,"OK",0.147379192000002,6499,44.1,1,16,1442599,5,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-5"
33,1,19.524,19.85189014,"Antrostomus-arizonae-246061.wav","",0.719,3.1637,"Antrostomus-arizonae-246061.Table.1.selections.txt","5c",11,10.7912334099465,1,"OK",0.327890140000001,14459,44.1,1,16,1442599,5,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-5"
34,1,21.217,21.427215282,"Antrostomus-arizonae-246061.wav","",0.6471,2.2769,"Antrostomus-arizonae-246061.Table.1.selections.txt","6b",12,11.3303561807129,1,"OK",0.210215282,9270,44.1,1,16,1442599,6,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-6"
35,1,21.521,21.845462718,"Antrostomus-arizonae-246061.wav","",0.7909,3.1158,"Antrostomus-arizonae-246061.Table.1.selections.txt","6c",13,6.47984741686198,1,"OK",0.324462717999999,14308,44.1,1,16,1442599,6,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-6"
36,1,22.882,23.004244756,"Antrostomus-arizonae-246061.wav","",0.8149,2.2769,"Antrostomus-arizonae-246061.Table.1.selections.txt","7b",14,14.5792693280614,1,"OK",0.122244756000001,5390,44.1,1,16,1442599,7,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-7"
37,1,23.187,23.50689282,"Antrostomus-arizonae-246061.wav","",0.5752,3.1397,"Antrostomus-arizonae-246061.Table.1.selections.txt","7c",15,9.11872821496886,1,"OK",0.31989282,14107,44.1,1,16,1442599,7,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-7"
38,1,27.125,27.263239398,"Antrostomus-arizonae-246061.wav","",0.719,2.3728,"Antrostomus-arizonae-246061.Table.1.selections.txt","8b",16,12.7466207907304,1,"OK",0.138239398000003,6096,44.1,1,16,1442599,8,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-8"
39,1,27.435,27.75489282,"Antrostomus-arizonae-246061.wav","",0.743,3.1397,"Antrostomus-arizonae-246061.Table.1.selections.txt","8c",17,9.48425212286444,1,"OK",0.31989282,14107,44.1,1,16,1442599,8,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-8"
40,1,28.852,28.987954449,"Antrostomus-arizonae-246061.wav","",0.719,2.1571,"Antrostomus-arizonae-246061.Table.1.selections.txt","9b",18,11.9554063465092,1,"OK",0.135954448999996,5995,44.1,1,16,1442599,9,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-9"
41,1,29.156,29.487317564,"Antrostomus-arizonae-246061.wav","",0.767,2.972,"Antrostomus-arizonae-246061.Table.1.selections.txt","9c",19,10.7218364687678,1,"OK",0.331317564000003,14611,44.1,1,16,1442599,9,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246061.wav-9"
43,1,1.991,2.008137115,"Antrostomus-arizonae-246497.wav","",0.2397,1.3182,"Antrostomus-arizonae-246497.Table.1.selections.txt","1a",1,5.90764436324095,1,"OK",0.017137114999997,755,44.1,1,16,966319,1,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-1"
44,1,2.159,2.30980661500001,"Antrostomus-arizonae-246497.wav","",0.2157,1.9653,"Antrostomus-arizonae-246497.Table.1.selections.txt","1b",2,9.78185873156504,1,"OK",0.150806615000008,6650,44.1,1,16,966319,1,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-1"
45,1,2.543,2.771494871,"Antrostomus-arizonae-246497.wav","",0.2876,3.0199,"Antrostomus-arizonae-246497.Table.1.selections.txt","1c",3,12.1366478202066,1,"OK",0.228494870999995,10076,44.1,1,16,966319,1,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-1"
46,1,3.634,3.64885216600001,"Antrostomus-arizonae-246497.wav","",0.4793,1.6058,"Antrostomus-arizonae-246497.Table.1.selections.txt","2a",4,5.89776879563269,1,"OK",0.0148521660000114,654,44.1,1,16,966319,2,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-2"
47,1,3.812,3.943384552,"Antrostomus-arizonae-246497.wav","",0.4554,2.1091,"Antrostomus-arizonae-246497.Table.1.selections.txt","2b",5,14.0121716527483,1,"OK",0.131384552,5794,44.1,1,16,966319,2,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-2"
48,1,4.195,4.409785179,"Antrostomus-arizonae-246497.wav","",0.5752,2.948,"Antrostomus-arizonae-246497.Table.1.selections.txt","2c",6,10.0991381069245,1,"OK",0.214785179000003,9472,44.1,1,16,966319,2,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-2"
49,1,5.534,5.548852166,"Antrostomus-arizonae-246497.wav","",0.3835,1.462,"Antrostomus-arizonae-246497.Table.1.selections.txt","3a",7,5.47078003713391,1,"OK",0.0148521659999972,654,44.1,1,16,966319,3,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-3"
50,1,5.731,5.84638991,"Antrostomus-arizonae-246497.wav","",0.5752,2.0852,"Antrostomus-arizonae-246497.Table.1.selections.txt","3b",8,11.8479437504901,1,"OK",0.115389910000005,5088,44.1,1,16,966319,3,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-3"
51,1,6.108,6.326212603,"Antrostomus-arizonae-246497.wav","",0.3835,3.0439,"Antrostomus-arizonae-246497.Table.1.selections.txt","3c",9,11.8472373507183,1,"OK",0.218212602999998,9623,44.1,1,16,966319,3,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-3"
52,1,9.785,9.803279589,"Antrostomus-arizonae-246497.wav","",0.3835,1.3901,"Antrostomus-arizonae-246497.Table.1.selections.txt","4a",10,9.5099338490767,1,"OK",0.0182795890000023,806,44.1,1,16,966319,4,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-4"
53,1,9.969,10.092387231,"Antrostomus-arizonae-246497.wav","",0.5273,2.1571,"Antrostomus-arizonae-246497.Table.1.selections.txt","4b",11,13.3594116891757,1,"OK",0.123387230999995,5441,44.1,1,16,966319,4,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-4"
54,1,10.337,10.562067448,"Antrostomus-arizonae-246497.wav","",0.5033,3.0439,"Antrostomus-arizonae-246497.Table.1.selections.txt","4c",12,12.1554184146876,1,"OK",0.225067448000004,9925,44.1,1,16,966319,4,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-4"
55,1,14.334,14.349994641,"Antrostomus-arizonae-246497.wav","",0.2397,1.5099,"Antrostomus-arizonae-246497.Table.1.selections.txt","5a",13,5.3070544685695,1,"OK",0.015994641000006,705,44.1,1,16,966319,5,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-5"
56,1,14.49,14.640806615,"Antrostomus-arizonae-246497.wav","",0.5752,2.0372,"Antrostomus-arizonae-246497.Table.1.selections.txt","5b",14,10.8209169828491,1,"OK",0.150806614999993,6650,44.1,1,16,966319,5,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-5"
57,1,14.9,15.113642705,"Antrostomus-arizonae-246497.wav","",0.6232,2.9959,"Antrostomus-arizonae-246497.Table.1.selections.txt","5c",15,12.6325783796441,1,"OK",0.213642704999998,9421,44.1,1,16,966319,5,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-5"
58,1,18.656,18.673137115,"Antrostomus-arizonae-246497.wav","",0.2636,1.486,"Antrostomus-arizonae-246497.Table.1.selections.txt","6a",16,8.13815653922004,1,"OK",0.017137114999997,755,44.1,1,16,966319,6,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-6"
59,1,18.829,18.959242076,"Antrostomus-arizonae-246497.wav","",0.4314,2.1331,"Antrostomus-arizonae-246497.Table.1.selections.txt","6b",17,12.2837394706101,1,"OK",0.130242076000002,5743,44.1,1,16,966319,6,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-6"
60,1,19.216,19.437640025,"Antrostomus-arizonae-246497.wav","",0.4554,2.972,"Antrostomus-arizonae-246497.Table.1.selections.txt","6c",18,10.0074309172873,1,"OK",0.221640024999999,9774,44.1,1,16,966319,6,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-246497.wav-6"
62,1,0.932,1.053102282,"Antrostomus-arizonae-256615.wav","",0.5615,2.1948,"Antrostomus-arizonae-256615.Table.1.selections.txt","1b",1,4.66150706897387,1,"OK",0.121102281999995,5340,44.1,1,16,599040,1,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-256615.wav-1"
63,1,1.251,1.56632292199999,"Antrostomus-arizonae-256615.wav","",0.7656,3.1646,"Antrostomus-arizonae-256615.Table.1.selections.txt","1c",2,5.42069766741052,1,"OK",0.315322921999993,13905,44.1,1,16,599040,1,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-256615.wav-1"
64,1,2.62,2.729677538,"Antrostomus-arizonae-256615.wav","",0.6635,2.5521,"Antrostomus-arizonae-256615.Table.1.selections.txt","2b",3,3.10072797968201,1,"OK",0.109677538,4836,44.1,1,16,599040,2,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-256615.wav-2"
65,1,2.922,3.24532024300001,"Antrostomus-arizonae-256615.wav","",0.6125,3.2156,"Antrostomus-arizonae-256615.Table.1.selections.txt","2c",4,7.35422386708794,1,"OK",0.323320243000012,14258,44.1,1,16,599040,2,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-256615.wav-2"
66,1,4.1,4.214247435,"Antrostomus-arizonae-256615.wav","",0.7146,2.3479,"Antrostomus-arizonae-256615.Table.1.selections.txt","3b",5,3.88426575087209,1,"OK",0.114247434999996,5038,44.1,1,16,599040,3,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-256615.wav-3"
67,1,4.426,4.693338999,"Antrostomus-arizonae-256615.wav","",0.8167,2.9094,"Antrostomus-arizonae-256615.Table.1.selections.txt","3c",6,2.25861329096496,1,"OK",0.267338999000003,11789,44.1,1,16,599040,3,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-256615.wav-3"
68,1,5.758,5.86196516599999,"Antrostomus-arizonae-256615.wav","",0.5104,2.2969,"Antrostomus-arizonae-256615.Table.1.selections.txt","4b",7,4.02041798546764,1,"OK",0.103965165999995,4584,44.1,1,16,599040,4,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-256615.wav-4"
69,1,6.087,6.346341679,"Antrostomus-arizonae-256615.wav","",0.8677,3.1135,"Antrostomus-arizonae-256615.Table.1.selections.txt","4c",8,1.54062338542532,1,"OK",0.259341679000002,11436,44.1,1,16,599040,4,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-256615.wav-4"
70,1,7.32,7.41254042299999,"Antrostomus-arizonae-256615.wav","",0.8167,2.1437,"Antrostomus-arizonae-256615.Table.1.selections.txt","5b",9,3.96527136629346,1,"OK",0.0925404229999884,4081,44.1,1,16,599040,5,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-256615.wav-5"
71,1,7.645,7.904341679,"Antrostomus-arizonae-256615.wav","",0.8167,2.9604,"Antrostomus-arizonae-256615.Table.1.selections.txt","5c",10,2.08664490665378,1,"OK",0.259341679000002,11436,44.1,1,16,599040,5,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-256615.wav-5"
72,1,8.984,9.07539794799999,"Antrostomus-arizonae-256615.wav","",0.7146,2.2969,"Antrostomus-arizonae-256615.Table.1.selections.txt","6b",11,3.0003106177877,1,"OK",0.0913979479999938,4030,44.1,1,16,599040,6,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-256615.wav-6"
